Origem,Destino,Distancia_Mantegna
AMER3.SA,CVCB3.SA,1.1551
CVCB3.SA,MGLU3.SA,0.8922
MGLU3.SA,MRVE3.SA,0.72
MRVE3.SA,CYRE3.SA,0.564
CYRE3.SA,EZTC3.SA,0.5405
CYRE3.SA,CEAB3.SA,0.5809
EZTC3.SA,LREN3.SA,0.673
LREN3.SA,SMFT3.SA,0.7966
LREN3.SA,IGTI11.SA,0.8228
CEAB3.SA,SANB11.SA,0.9498
SANB11.SA,ITUB4.SA,0.9146
ITUB4.SA,BBAS3.SA,0.9308
CYRE3.SA,BBDC4.SA,0.9669
CEAB3.SA,B3SA3.SA,0.9831
B3SA3.SA,TIMS3.SA,0.9423
TIMS3.SA,VIVT3.SA,0.798
B3SA3.SA,BPAC11.SA,0.9607
BPAC11.SA,RADL3.SA,0.9711
BBAS3.SA,BBSE3.SA,1.0729
BPAC11.SA,SBSP3.SA,1.1058
TIMS3.SA,PETR4.SA,1.128
VIVT3.SA,VALE3.SA,1.1467
