Origem,Destino,Distancia_Mantegna
AMER3.SA,MGLU3.SA,0.8402
AMER3.SA,EZTC3.SA,0.9143
EZTC3.SA,CYRE3.SA,0.4976
CYRE3.SA,MRVE3.SA,0.5735
MRVE3.SA,LREN3.SA,0.8075
MRVE3.SA,IGTI11.SA,0.8573
MRVE3.SA,BPAC11.SA,0.8657
MRVE3.SA,CVCB3.SA,0.8816
CVCB3.SA,SMFT3.SA,0.8805
MRVE3.SA,CEAB3.SA,0.8928
BPAC11.SA,B3SA3.SA,0.9405
MRVE3.SA,BBAS3.SA,1.0045
BBAS3.SA,BBDC4.SA,0.7731
BBDC4.SA,SANB11.SA,0.6543
BBDC4.SA,ITUB4.SA,0.7011
EZTC3.SA,SBSP3.SA,1.0319
MRVE3.SA,TIMS3.SA,1.0475
TIMS3.SA,VIVT3.SA,0.8284
IGTI11.SA,RADL3.SA,1.0491
BBAS3.SA,PETR4.SA,1.0531
BBAS3.SA,BBSE3.SA,1.0856
PETR4.SA,VALE3.SA,1.1941
