Date,ITUB4.SA,BBDC4.SA,BBAS3.SA,BPAC11.SA,SANB11.SA,MGLU3.SA,LREN3.SA,RADL3.SA,CEAB3.SA,SMFT3.SA,IGTI11.SA,AMER3.SA,PETR4.SA,VALE3.SA,SBSP3.SA,MRVE3.SA,CYRE3.SA,EZTC3.SA,VIVT3.SA,TIMS3.SA,CVCB3.SA,BBSE3.SA,B3SA3.SA
2020-01-02,22.976423263549805,18.923961639404297,17.015817642211914,16.368196487426758,31.56954002380371,105.34857177734375,37.70209884643555,20.028465270996094,16.591075897216797,,,6333.2587890625,8.549606323242188,30.140153884887695,9.93856143951416,20.109397888183594,22.04796028137207,32.52995681762695,15.73000717163086,10.007336616516113,36.849517822265625,20.888410568237305,11.626265525817871
2020-01-03,22.73476219177246,18.93353843688965,16.98734474182129,16.415695190429688,31.550983428955078,104.4089126586914,37.439823150634766,19.58194923400879,16.499412536621094,,,6247.75244140625,8.479985237121582,29.91826057434082,9.76785945892334,20.109397888183594,23.245676040649414,32.78856658935547,15.912613868713379,10.026372909545898,36.42918014526367,20.65814781188965,11.291215896606445
2020-01-06,22.396427154541016,18.59534454345703,16.76279067993164,16.391948699951172,30.69719886779785,104.49434661865234,37.40703582763672,19.19648551940918,16.325252532958984,,,6208.88671875,8.580240249633789,29.740726470947266,9.618491172790527,19.837646484375,23.033063888549805,32.94249725341797,15.759349822998047,10.013681411743164,36.115989685058594,20.998065948486328,11.182968139648438
2020-01-07,21.876840591430664,18.272302627563477,16.636281967163086,16.45734405517578,30.632591247558594,104.19535827636719,37.387359619140625,18.933115005493164,15.747773170471191,,,6193.33984375,8.546822547912598,29.95708656311035,9.454353332519531,19.928234100341797,23.10393524169922,33.39815902709961,16.108257293701172,10.121560096740723,36.594017028808594,21.009029388427734,11.543792724609375
2020-01-08,21.520389556884766,17.989639282226562,16.484466552734375,16.311494827270508,30.393526077270508,107.39873504638672,37.62997055053711,19.186017990112305,14.913636207580566,,,6275.9306640625,8.493908882141113,29.96263313293457,9.314835548400879,19.584016799926758,22.388139724731445,33.74298095703125,16.27129554748535,10.229440689086914,36.5445671081543,20.998065948486328,11.512864112854004
2020-01-09,21.09143829345703,17.701927185058594,16.149208068847656,16.422515869140625,29.818470001220703,111.221435546875,37.34145736694336,19.763343811035156,14.400320053100586,,,6611.15234375,8.46606159210205,29.568758010864258,9.457636833190918,19.4390869140625,22.274747848510742,34.235572814941406,15.997395515441895,10.08983039855957,35.7615852355957,20.93775749206543,11.507709503173828
2020-01-10,20.90414047241211,17.378877639770508,15.769673347473145,16.65326690673828,29.68924903869629,110.62347412109375,37.4594841003418,19.151134490966797,14.83113956451416,,,6488.72314453125,8.42985725402832,29.602041244506836,9.423169136047363,19.24886131286621,22.4306640625,34.48187255859375,16.395206451416016,10.356354713439941,34.648929595947266,20.688974380493164,11.417501449584961
2020-01-13,21.182065963745117,17.56563949584961,15.946785926818848,16.696805953979492,30.057544708251953,115.81295776367188,38.27253723144531,19.599393844604492,15.399450302124023,,,6720.94970703125,8.446566581726074,30.67827796936035,9.833514213562012,19.538724899291992,22.85588836669922,34.57423782348633,16.890850067138672,10.362703323364258,34.286285400390625,20.53551483154297,11.430387496948242
2020-01-14,21.182065963745117,17.545448303222656,15.861393928527832,16.378976821899414,29.64402198791504,115.32177734375,37.787330627441406,19.892412185668945,15.7202730178833,,,6641.2734375,8.354665756225586,30.866893768310547,10.046893119812012,19.973522186279297,23.033063888549805,35.362396240234375,17.262569427490234,10.407123565673828,35.02805709838867,20.77992057800293,11.507709503173828
2020-01-15,20.922266006469727,17.237545013427734,15.570420265197754,16.239656448364258,29.24342155456543,114.59567260742188,37.538169860839844,19.95172119140625,15.766106605529785,,,6812.28515625,8.229344367980957,30.76703453063965,9.996010780334473,19.656484603881836,22.678709030151367,35.63948059082031,17.278879165649414,10.413468360900879,34.11320877075195,20.802650451660156,11.198431015014648
