Regime,Epicentro,Ativo,Barreira_Contagio
Regime_1,CVCB3.SA,BPAC11.SA,0.657
Regime_1,CVCB3.SA,LREN3.SA,0.657
Regime_1,B3SA3.SA,CVCB3.SA,0.657
Regime_1,ITUB4.SA,PETR4.SA,0.685
Regime_1,ITUB4.SA,VALE3.SA,0.685
Regime_1,BBDC4.SA,PETR4.SA,0.685
Regime_1,BBDC4.SA,VALE3.SA,0.685
Regime_1,BBAS3.SA,PETR4.SA,0.685
Regime_1,BBAS3.SA,VALE3.SA,0.685
Regime_1,BPAC11.SA,PETR4.SA,0.685
Regime_1,BPAC11.SA,VALE3.SA,0.685
Regime_1,SANB11.SA,PETR4.SA,0.685
Regime_1,SANB11.SA,VALE3.SA,0.685
Regime_1,LREN3.SA,PETR4.SA,0.685
Regime_1,LREN3.SA,VALE3.SA,0.685
Regime_1,PETR4.SA,B3SA3.SA,0.685
Regime_1,PETR4.SA,BBAS3.SA,0.685
Regime_1,PETR4.SA,BBDC4.SA,0.685
Regime_1,PETR4.SA,ITUB4.SA,0.685
Regime_1,PETR4.SA,SANB11.SA,0.685
Regime_1,PETR4.SA,CYRE3.SA,0.685
Regime_1,PETR4.SA,EZTC3.SA,0.685
Regime_1,PETR4.SA,MRVE3.SA,0.685
Regime_1,PETR4.SA,BPAC11.SA,0.685
Regime_1,PETR4.SA,LREN3.SA,0.685
Regime_1,PETR4.SA,CVCB3.SA,0.685
Regime_1,VALE3.SA,B3SA3.SA,0.685
Regime_1,VALE3.SA,BBAS3.SA,0.685
Regime_1,VALE3.SA,BBDC4.SA,0.685
Regime_1,VALE3.SA,ITUB4.SA,0.685
Regime_1,VALE3.SA,SANB11.SA,0.685
Regime_1,VALE3.SA,CYRE3.SA,0.685
Regime_1,VALE3.SA,EZTC3.SA,0.685
Regime_1,VALE3.SA,MRVE3.SA,0.685
Regime_1,VALE3.SA,BPAC11.SA,0.685
Regime_1,VALE3.SA,LREN3.SA,0.685
Regime_1,VALE3.SA,CVCB3.SA,0.685
Regime_1,MRVE3.SA,PETR4.SA,0.685
Regime_1,MRVE3.SA,VALE3.SA,0.685
Regime_1,CYRE3.SA,PETR4.SA,0.685
Regime_1,CYRE3.SA,VALE3.SA,0.685
Regime_1,EZTC3.SA,PETR4.SA,0.685
Regime_1,EZTC3.SA,VALE3.SA,0.685
Regime_1,CVCB3.SA,PETR4.SA,0.685
Regime_1,CVCB3.SA,VALE3.SA,0.685
Regime_1,B3SA3.SA,PETR4.SA,0.685
Regime_1,B3SA3.SA,VALE3.SA,0.685
Regime_1,ITUB4.SA,CEAB3.SA,0.6867
Regime_1,BBDC4.SA,CEAB3.SA,0.6867
Regime_1,BBAS3.SA,CEAB3.SA,0.6867
Regime_1,BPAC11.SA,CEAB3.SA,0.6867
Regime_1,SANB11.SA,CEAB3.SA,0.6867
Regime_1,LREN3.SA,CEAB3.SA,0.6867
Regime_1,CEAB3.SA,B3SA3.SA,0.6867
Regime_1,CEAB3.SA,BBAS3.SA,0.6867
Regime_1,CEAB3.SA,BBDC4.SA,0.6867
Regime_1,CEAB3.SA,ITUB4.SA,0.6867
Regime_1,CEAB3.SA,SANB11.SA,0.6867
Regime_1,CEAB3.SA,CYRE3.SA,0.6867
Regime_1,CEAB3.SA,EZTC3.SA,0.6867
Regime_1,CEAB3.SA,MRVE3.SA,0.6867
Regime_1,CEAB3.SA,BPAC11.SA,0.6867
Regime_1,CEAB3.SA,LREN3.SA,0.6867
Regime_1,CEAB3.SA,CVCB3.SA,0.6867
Regime_1,CEAB3.SA,PETR4.SA,0.6867
Regime_1,CEAB3.SA,VALE3.SA,0.6867
Regime_1,PETR4.SA,CEAB3.SA,0.6867
Regime_1,VALE3.SA,CEAB3.SA,0.6867
Regime_1,MRVE3.SA,CEAB3.SA,0.6867
Regime_1,CYRE3.SA,CEAB3.SA,0.6867
Regime_1,EZTC3.SA,CEAB3.SA,0.6867
Regime_1,CVCB3.SA,CEAB3.SA,0.6867
Regime_1,B3SA3.SA,CEAB3.SA,0.6867
Regime_1,ITUB4.SA,AMER3.SA,0.6872
Regime_1,ITUB4.SA,MGLU3.SA,0.6872
Regime_1,BBDC4.SA,AMER3.SA,0.6872
Regime_1,BBDC4.SA,MGLU3.SA,0.6872
Regime_1,BBAS3.SA,AMER3.SA,0.6872
Regime_1,BBAS3.SA,MGLU3.SA,0.6872
Regime_1,BPAC11.SA,AMER3.SA,0.6872
Regime_1,BPAC11.SA,MGLU3.SA,0.6872
Regime_1,SANB11.SA,AMER3.SA,0.6872
Regime_1,SANB11.SA,MGLU3.SA,0.6872
Regime_1,MGLU3.SA,B3SA3.SA,0.6872
