data,ticker,retorno
2020-01-03,AMER3.SA,-1.35011611721787
2020-01-03,B3SA3.SA,-2.881833624626906
2020-01-03,BBAS3.SA,-0.16733195541536183
2020-01-03,BBDC4.SA,0.050606726370716615
2020-01-03,BBSE3.SA,-1.1023469478227854
2020-01-03,BPAC11.SA,0.2901889834925564
2020-01-03,CEAB3.SA,-0.5524859337849186
2020-01-03,CVCB3.SA,-1.1406870478722353
2020-01-03,CYRE3.SA,5.432320015059489
2020-01-03,EZTC3.SA,0.7949895942941598
2020-01-03,ITUB4.SA,-1.051778464408426
2020-01-03,LREN3.SA,-0.6956527721946104
2020-01-03,MGLU3.SA,-0.8919524040993498
2020-01-03,MRVE3.SA,0.0
2020-01-03,PETR4.SA,-0.8143192035794611
2020-01-03,RADL3.SA,-2.2294071510008284
2020-01-03,SANB11.SA,-0.058780060889840335
2020-01-03,SBSP3.SA,-1.7175723230138273
2020-01-03,TIMS3.SA,0.1902233707055334
2020-01-03,VALE3.SA,-0.736204968940557
2020-01-03,VIVT3.SA,1.1608812067921415
2020-01-06,AMER3.SA,-0.6220752665978213
2020-01-06,B3SA3.SA,-0.9586899936130155
2020-01-06,BBAS3.SA,-1.3218902971740887
2020-01-06,BBDC4.SA,-1.7862160026764329
2020-01-06,BBSE3.SA,1.6454434332251244
2020-01-06,BPAC11.SA,-0.14465723323346946
2020-01-06,CEAB3.SA,-1.0555527554423794
2020-01-06,CVCB3.SA,-0.8597241523312094
2020-01-06,CYRE3.SA,-0.9146309693373378
2020-01-06,EZTC3.SA,0.469464450795698
2020-01-06,ITUB4.SA,-1.4881837530453135
2020-01-06,LREN3.SA,-0.08757339174956247
2020-01-06,MGLU3.SA,0.08182630944564284
2020-01-06,MRVE3.SA,-1.3513651941228777
2020-01-06,PETR4.SA,1.1822545642336202
2020-01-06,RADL3.SA,-1.9684644771224225
2020-01-06,SANB11.SA,-2.706047382262222
2020-01-06,SBSP3.SA,-1.5291813601633897
2020-01-06,TIMS3.SA,-0.1265811467140887
2020-01-06,VALE3.SA,-0.593397142699581
2020-01-06,VIVT3.SA,-0.963160716270961
2020-01-07,AMER3.SA,-0.25039714371097865
2020-01-07,B3SA3.SA,3.2265547076152368
2020-01-07,BBAS3.SA,-0.7546995913992438
2020-01-07,BBDC4.SA,-1.737219308513538
2020-01-07,BBSE3.SA,0.05221166543767364
2020-01-07,BPAC11.SA,0.3989480227253539
2020-01-07,CEAB3.SA,-3.537338006391766
2020-01-07,CVCB3.SA,1.3235892133055982
2020-01-07,CYRE3.SA,0.30769398935521775
2020-01-07,EZTC3.SA,1.3832034960080675
2020-01-07,ITUB4.SA,-2.3199529082253756
2020-01-07,LREN3.SA,-0.0526002877821119
2020-01-07,MGLU3.SA,-0.2861287255819689
2020-01-07,MRVE3.SA,0.45664497569379847
2020-01-07,PETR4.SA,-0.3894727973685508
2020-01-07,RADL3.SA,-1.3719725605487842
2020-01-07,SANB11.SA,-0.21046747788779907
2020-01-07,SBSP3.SA,-1.7064822051853668
2020-01-07,TIMS3.SA,1.0773129337932508
2020-01-07,VALE3.SA,0.7274875829762939
2020-01-07,VIVT3.SA,2.2139712273786527
2020-01-08,AMER3.SA,1.3335425214207497
2020-01-08,B3SA3.SA,-0.2679241778955066
2020-01-08,BBAS3.SA,-0.9125561512383973
2020-01-08,BBDC4.SA,-1.546949780212814
2020-01-08,BBSE3.SA,-0.052184419083378675
2020-01-08,BPAC11.SA,-0.8862257932767958
2020-01-08,CEAB3.SA,-5.2968566022701165
2020-01-08,CVCB3.SA,-0.13513116260335245
2020-01-08,CYRE3.SA,-3.0981541000680624
2020-01-08,EZTC3.SA,1.032457895813499
2020-01-08,ITUB4.SA,-1.6293533476928301
2020-01-08,LREN3.SA,0.6489116478615387
2020-01-08,MGLU3.SA,3.0743948895716855
2020-01-08,MRVE3.SA,-1.7272845084107868
2020-01-08,PETR4.SA,-0.6191033623882514
2020-01-08,RADL3.SA,1.3357706037583572
2020-01-08,SANB11.SA,-0.7804275138073358
2020-01-08,SBSP3.SA,-1.4756988575703178
2020-01-08,TIMS3.SA,1.0658494472697955
2020-01-08,VALE3.SA,0.018515050896339424
2020-01-08,VIVT3.SA,1.0121408592593806
2020-01-09,AMER3.SA,5.34138596538456
2020-01-09,B3SA3.SA,-0.04477260940152217
2020-01-09,BBAS3.SA,-2.03378424660704
2020-01-09,BBDC4.SA,-1.5993211017422904
2020-01-09,BBSE3.SA,-0.287209577152725
2020-01-09,BPAC11.SA,0.6806307027391822
2020-01-09,CEAB3.SA,-3.4419248755649723
2020-01-09,CVCB3.SA,-2.142539738509819
2020-01-09,CYRE3.SA,-0.5064819034314105
2020-01-09,EZTC3.SA,1.4598350351364253
2020-01-09,ITUB4.SA,-1.993231871076906
2020-01-09,LREN3.SA,-0.7667111596759701
2020-01-09,MGLU3.SA,3.5593533749137762
2020-01-09,MRVE3.SA,-0.7400416745189875
2020-01-09,PETR4.SA,-0.3278501150113966
2020-01-09,RADL3.SA,3.0090966307880107
2020-01-09,SANB11.SA,-1.8920347530188453
2020-01-09,SBSP3.SA,1.5330521300996436
2020-01-09,TIMS3.SA,-1.3647890903388693
2020-01-09,VALE3.SA,-1.3145544329258851
2020-01-09,VIVT3.SA,-1.6833326593086562
2020-01-10,AMER3.SA,-1.8518586904821666
2020-01-10,B3SA3.SA,-0.7838923424682176
2020-01-10,BBAS3.SA,-2.3501754374361306
2020-01-10,BBDC4.SA,-1.8249399735456917
2020-01-10,BBSE3.SA,-1.1882032336392512
2020-01-10,BPAC11.SA,1.4050894481475673
2020-01-10,CEAB3.SA,2.9917356685472685
2020-01-10,CVCB3.SA,-3.111315206857612
2020-01-10,CYRE3.SA,0.6999684802253769
2020-01-10,EZTC3.SA,0.7194263843158133
2020-01-10,ITUB4.SA,-0.8880277316271279
2020-01-10,LREN3.SA,0.3160742555884388
2020-01-10,MGLU3.SA,-0.5376314582176356
2020-01-10,MRVE3.SA,-0.9785727181387149
2020-01-10,PETR4.SA,-0.4276408537767451
2020-01-10,RADL3.SA,-3.0977011072717553
2020-01-10,SANB11.SA,-0.43335879580381764
2020-01-10,SBSP3.SA,-0.36444301839326787
2020-01-10,TIMS3.SA,2.64151432038362
2020-01-10,VALE3.SA,0.11256216318029644
2020-01-10,VIVT3.SA,2.4867231393393086
2020-01-13,AMER3.SA,3.578925426888069
2020-01-13,B3SA3.SA,0.11286223540396545
2020-01-13,BBAS3.SA,1.1231214207368723
2020-01-13,BBDC4.SA,1.0746485472209466
2020-01-13,BBSE3.SA,-0.7417455603545342
2020-01-13,BPAC11.SA,0.2614444810441041
2020-01-13,CEAB3.SA,3.8318750567868376
2020-01-13,CVCB3.SA,-1.046624527180362
2020-01-13,CYRE3.SA,1.8957276655492183
2020-01-13,EZTC3.SA,0.267866151223739
2020-01-13,ITUB4.SA,1.3295236496319696
2020-01-13,LREN3.SA,2.170486728876475
2020-01-13,MGLU3.SA,4.691123365821492
2020-01-13,MRVE3.SA,1.5058739408758237
2020-01-13,PETR4.SA,0.19821602186405052
2020-01-13,RADL3.SA,2.3406412494733964
2020-01-13,SANB11.SA,1.2405018027759285
2020-01-13,SBSP3.SA,4.35463984133444
2020-01-13,TIMS3.SA,0.06130158825168319
2020-01-13,VALE3.SA,3.6356841609807233
2020-01-13,VIVT3.SA,3.0231007898034123
2020-01-14,AMER3.SA,-1.1854912327032507
2020-01-14,B3SA3.SA,0.6764600609229454
2020-01-14,BBAS3.SA,-0.5354809344208067
2020-01-14,BBDC4.SA,-0.11494709675513581
2020-01-14,BBSE3.SA,1.1901612813940643
2020-01-14,BPAC11.SA,-1.9035325256584579
2020-01-14,CEAB3.SA,2.0833387521308255
2020-01-14,CVCB3.SA,2.1634647478889546
2020-01-14,CYRE3.SA,0.7751854533413205
2020-01-14,EZTC3.SA,2.279611833446249
2020-01-14,ITUB4.SA,0.0
2020-01-14,LREN3.SA,-1.2677670180832767
2020-01-14,MGLU3.SA,-0.42411525394608907
2020-01-14,MRVE3.SA,2.225310450033824
2020-01-14,PETR4.SA,-1.0880258222235928
2020-01-14,RADL3.SA,1.4950377720233332
2020-01-14,SANB11.SA,-1.3757701247746446
2020-01-14,SBSP3.SA,2.1699150640949405
2020-01-14,TIMS3.SA,0.42865496505548606
2020-01-14,VALE3.SA,0.6148187298471441
2020-01-14,VIVT3.SA,2.200714344595034
