ticker,data_reuniao,selic_anterior,selic_nova,direcao,data_t_menos1,preco_t_menos1,data_t_mais1,preco_t_mais1,impacto_pct
ITUB4.SA,2020-02-05,,4.25,primeira_reuniao,2020-02-04,20.04329490661621,2020-02-06,20.11583137512207,0.3619
ITUB4.SA,2020-03-18,4.25,3.75,corte,2020-03-17,15.704071998596191,2020-03-19,14.239603996276855,-9.3254
ITUB4.SA,2020-05-06,3.75,3.0,corte,2020-05-05,14.164651870727539,2020-05-07,13.378419876098633,-5.5507
ITUB4.SA,2020-06-17,3.0,2.25,corte,2020-06-16,16.3467960357666,2020-06-18,17.202213287353516,5.2329
ITUB4.SA,2020-08-05,2.25,2.0,corte,2020-08-04,16.059246063232422,2020-08-06,16.27178955078125,1.3235
ITUB4.SA,2020-09-16,2.0,2.0,manutencao,2020-09-15,14.876073837280273,2020-09-17,14.850997924804688,-0.1686
ITUB4.SA,2020-10-28,2.0,2.0,manutencao,2020-10-27,15.613670349121094,2020-10-29,14.992633819580078,-3.9775
ITUB4.SA,2020-12-09,2.0,2.0,manutencao,2020-12-08,19.067241668701172,2020-12-10,19.81460189819336,3.9196
ITUB4.SA,2021-01-20,2.0,2.0,manutencao,2021-01-19,19.410947799682617,2021-01-21,18.831693649291992,-2.9842
ITUB4.SA,2021-03-17,2.0,2.75,alta,2021-03-16,17.10652732849121,2021-03-18,17.874862670898438,4.4915
ITUB4.SA,2021-05-05,2.75,3.5,alta,2021-05-04,17.0455265045166,2021-05-06,17.422046661376953,2.2089
ITUB4.SA,2021-06-16,3.5,4.25,alta,2021-06-15,20.875120162963867,2021-06-17,21.041412353515625,0.7966
ITUB4.SA,2021-08-04,4.25,5.25,alta,2021-08-03,19.698808670043945,2021-08-05,19.205860137939453,-2.5024
ITUB4.SA,2021-09-22,5.25,6.25,alta,2021-09-21,17.429323196411133,2021-09-23,18.451173782348633,5.8628
ITUB4.SA,2021-10-27,6.25,7.75,alta,2021-10-26,15.264995574951172,2021-10-28,15.348588943481445,0.5476
ITUB4.SA,2021-12-08,7.75,9.25,alta,2021-12-07,14.963979721069336,2021-12-09,14.423040390014648,-3.6149
ITUB4.SA,2022-02-02,9.25,10.75,alta,2022-02-01,16.638486862182617,2022-02-03,16.566692352294922,-0.4315
