Origem,Destino,Distancia_Mantegna
AMER3.SA,CEAB3.SA,1.1822
CEAB3.SA,CYRE3.SA,0.909
CYRE3.SA,EZTC3.SA,0.7053
CYRE3.SA,SMFT3.SA,0.7952
CYRE3.SA,B3SA3.SA,0.8033
B3SA3.SA,BPAC11.SA,0.7834
CYRE3.SA,MRVE3.SA,0.8289
SMFT3.SA,IGTI11.SA,0.8351
CYRE3.SA,LREN3.SA,0.8458
B3SA3.SA,ITUB4.SA,0.9006
ITUB4.SA,BBDC4.SA,0.8681
ITUB4.SA,BBAS3.SA,0.9116
ITUB4.SA,SANB11.SA,0.9144
CYRE3.SA,MGLU3.SA,0.9536
IGTI11.SA,CVCB3.SA,1.0071
B3SA3.SA,RADL3.SA,1.0129
MGLU3.SA,SBSP3.SA,1.1192
SANB11.SA,VIVT3.SA,1.1399
VIVT3.SA,TIMS3.SA,0.8196
IGTI11.SA,VALE3.SA,1.144
SANB11.SA,BBSE3.SA,1.1572
BBAS3.SA,PETR4.SA,1.2575
