Origem,Destino,Distancia_Mantegna
AMER3.SA,MGLU3.SA,0.6566
MGLU3.SA,B3SA3.SA,0.6872
B3SA3.SA,BBAS3.SA,0.5901
BBAS3.SA,BBDC4.SA,0.3586
BBDC4.SA,ITUB4.SA,0.3583
BBDC4.SA,SANB11.SA,0.3905
BBAS3.SA,CYRE3.SA,0.5909
CYRE3.SA,EZTC3.SA,0.4764
CYRE3.SA,MRVE3.SA,0.5641
BBAS3.SA,BPAC11.SA,0.6086
CYRE3.SA,LREN3.SA,0.6209
MRVE3.SA,CVCB3.SA,0.657
B3SA3.SA,PETR4.SA,0.685
PETR4.SA,VALE3.SA,0.6553
LREN3.SA,CEAB3.SA,0.6867
BBAS3.SA,SBSP3.SA,0.6884
BBAS3.SA,BBSE3.SA,0.7178
LREN3.SA,TIMS3.SA,0.8364
TIMS3.SA,VIVT3.SA,0.7679
TIMS3.SA,RADL3.SA,1.0004
