Origem,Destino,Distancia_Mantegna
AMER3.SA,MGLU3.SA,0.8591
MGLU3.SA,CYRE3.SA,1.0328
CYRE3.SA,EZTC3.SA,0.6267
EZTC3.SA,MRVE3.SA,0.7697
EZTC3.SA,TIMS3.SA,0.8511
TIMS3.SA,LREN3.SA,0.8922
LREN3.SA,CEAB3.SA,0.86
EZTC3.SA,BPAC11.SA,0.9009
LREN3.SA,BBSE3.SA,0.9045
BBSE3.SA,ITUB4.SA,0.9009
ITUB4.SA,BBDC4.SA,0.3789
BBDC4.SA,BBAS3.SA,0.5035
BBDC4.SA,SANB11.SA,0.5889
BBAS3.SA,PETR4.SA,0.7023
CYRE3.SA,B3SA3.SA,0.9115
PETR4.SA,VALE3.SA,0.9529
EZTC3.SA,RADL3.SA,0.9697
CYRE3.SA,SBSP3.SA,0.9725
CYRE3.SA,CVCB3.SA,0.9841
TIMS3.SA,VIVT3.SA,1.0195
