Origem,Destino,Distancia_Mantegna
AMER3.SA,MGLU3.SA,1.0955
MGLU3.SA,IGTI11.SA,0.9556
IGTI11.SA,CYRE3.SA,0.7347
IGTI11.SA,ITUB4.SA,0.7796
ITUB4.SA,BBDC4.SA,0.6771
BBDC4.SA,B3SA3.SA,0.7799
BBDC4.SA,SANB11.SA,0.8082
IGTI11.SA,SMFT3.SA,0.8201
IGTI11.SA,BPAC11.SA,0.8307
BPAC11.SA,SBSP3.SA,0.7747
SANB11.SA,BBAS3.SA,0.8663
SMFT3.SA,CVCB3.SA,0.9117
SANB11.SA,EZTC3.SA,0.9499
B3SA3.SA,LREN3.SA,0.962
LREN3.SA,CEAB3.SA,0.9217
B3SA3.SA,MRVE3.SA,0.9934
B3SA3.SA,VIVT3.SA,1.0071
VIVT3.SA,TIMS3.SA,0.7798
CEAB3.SA,RADL3.SA,1.1196
CVCB3.SA,PETR4.SA,1.121
BPAC11.SA,VALE3.SA,1.1263
ITUB4.SA,BBSE3.SA,1.1348
